; 的
dcg 揍
dcg 揳
dcn 摏
dcx 摄
dcy 揶
dd 得
de 描
dee 擀
def 搽
def 揲
deg 摸
deh 撠
dej 搭
dek 措
dem 撒
deo 拱
dep 撕
der 攮
dex 技
dey 捞
dez 揕
dfa 揸
dfb 捕
dfd 搏
dfk 擂
dfn 攉
dfz 摴
dgb 捺
dgb 捱
dgh 振
dgi 抔
dgj 掎
dgk 撩
dgm 拢
dgr 扰
dgr 撅
dgs 拔
dgv 拓
dgy 扼
dgy 拋
dgz 掩
dgz 挎
dhb 拭
dhg 挠
dhk 捯
dhm 找
dhn 揩
dho 拣
dho 抠
dhr 批
dhw 撼
dhx 拒
dhz 揠
dhz 扽
did 扑
die 掉
dii 扯
dij 拈
diw 摅
diy 掳
djc 揖
djf 操
djf 捆
djh 拽
dji 捉
djk 捌
djl 损
djq 捐
djs 掴
djv 扣
djw 摁
djx 事
djy 拐
djy 挹
dk 抽
dk; 撑
dka 担
dkb 捏
dkc 排
dke 捍
dki 押
dki 抻
dkj 撂
dkl 揽
dkm 抄
dkm 撇
dkq 捎
dkr 揭
dkv 提
dkx 挡
dkx 撮
dkz 摞
dld 拥
dlg 揣
dln 摧
dlr 擐
dlx 攫
dlz 摆
dlz 撄
dmb 捶
dme 扦
dmh 托
dmi 括
dml 攒
dmm 撬
dmn 插
dmn 挢
dmu 揪
dmv 才
dmx 鼒
dmy 拖
dmz 攥
dnd 拊
dne 捭
dni 推
dnk 拍
dnm 携
dnn 擤
dnx 搜
do 抢
dob 挫
doc 拴
doj 拾
dok 揄
dom 捨
dor 抡
dov 捡
dov 扒
dow 拎
dow 捻
doy 扮
doz 擒
dp 授
dp; 拆
dpd 折
dpd 捋
dpi 蜇
dpj 哲
dpj 踅
dpk 播
dpl 摇
dpq 搬
dpq 搋
dpr 掀
dpr 揿
dps 誓
dpv 抓
dpx 援
dpx 扳
dq 势
dqb 垫
dqi 蛰
dql 贽
dqm 挚
dqr 鸷
dqs 执
dqv 热
dqx 投
dqy 抛
dqz 絷
dr 抱
drg 换
drh 扺
drj 拘
drk 指
drk 撸
drl 掏
drl 捣
drn 掐
drr 挽
drs 抵
drt 搀
dru 掬
drv 挑
drv 撚
drx 挣
dry 抑
ds 寸
dsa 擅
dsb 撞
dsc 拄
dse 摔
dse 攘
dse 捽
dsi 抃
dsj 搞
dsj 掊
dsk 掠
dsk 搐
dsk 揞
dsl 摘
dsm 撤
dsn 挤
dsq 抗
dsr 掖
dss 搒
dsu 拉
dsz 接
dte 抖
dtg 扩
dtj 搁
dtj 掂
dtj 搪
dtl 扪
dtv 摭
dub 拦
dub 搓
dub 拌
dud 撙
due 拼
due 掸
dum 擞
duq 搠
duu 掞
dux 搛
duy 掷
duz 搂
dvl 搅
dvm 救
dvs 求
dvs 裘
dw 控
dwa 拧
dwb 擦
dwd 挝
dwf 探
dwg 挞
dwh 挥
dwi 撺
dwk 揎
dwl 擿
dwm 护
dwo 摈
dwq 掮
dws 捩
dwx 搥
dwy 挖
dwy 搧
dwz 按
dx 择
dxa 拯
dxb 扫
dxd 挦
dxe 扭
dxe 摒
dxf 揉
dxf 搡
dxg 抉
dxg 揆
dxh 握
dxh 搌
dxi 披
dxi 搔
dxj 据
dxj 捃
dxl 捅
dxm 撖
dxm 摨
dxn 摊
dxs 擗
dxx 抒
dxx 掇
dxz 掘
dy 扬
dyb 挺
dyh 抿
dyi 把
dyj 招
dym 扔
dyn 拂
dyn 摺
dyn 擢
dyo 撰
dyt 搦
dyx 报
dyy 挪
dze 拚
dzg 掾
dzj 抬
dzl 掼
dzm 挨
dzo 拟
dzp 掺
dzr 拶
dzs 拨
dzv 扎
dzy 拇
dzy 拗
dzz 拙
e 世
e' 世界
e/ 世界
e; 其
eaa 廿
eaa 艹
eaa 薤
eaa 廾
eaa 
eab 華
ead 芋
eae 葬
eaf 茉
eaf 靺
eag 芜
eaj 苛
eak 昔
eak 荆
eal 芾
eao 共
eau 苹
eav 蔫
eaz 萋
eba 甘
ebb 鞋
ebb 蒜
ebd 葑
ebf 某
ebh 薹
ebk 莱
ebk 蓍
ebk 荁
ebm 著
ebo 芙
ebr 菱
ebr 芫
ebr 莰
ebr 荖
ebu 荚
ebv 芏
ebv 爇
eby 韩
eby 邯
eby 苇
ebz 芸
ecb 基
ece 茸
ecg 碁
ecg 葜
ech 苌
eck 藉
ecm 蓁
eco 蕻
ecq 期
ecq 菁
ecz 甚
ecz 藕
ecz 綦
ed 十
ed 卉
ed 菝
eea 革
eeb 苷
eeb 鞲
eec 萁
eej 苦
eej 蔷
eej 鞳
eek 鞮
eel 贲
eel 鞴
eel 萳
eeq 朝
eeq 葫
eex 芰
eey 鞯
eey 荸
eez 葚
efa 苯
efb 莆
efb 蔈
efd 博
efe 蕈
efg 颟
efg 薷
efj 茜
efk 蕾
efl 葙
efn 藿
efp 菥
efr 蔌
efv 蘸
efw 蕙
efz 菘
ega 苤
egb 茬
egb 萘
egd 蓐
ege 莽
egi 芣
egj 若
egm 茏
egm 蕤
egr 蕨
egr 靰
egs 茇
egw 惹
egy 荐
egy 荑
egy 苊
egy 苈
egy 鄀
eh 藏
ehe 荜
ehf 栽
ehg 荛
ehh 载
ehi 芽
ehj 哉
ehl 蒇
ehm 茂
ehm 戟
ehn 截
ehn 蒈
eho 戴
ehr 芘
ehr 苉
ehs 裁
ehv 茝
ehx 苣
ehz 葳
eii 芷
eij 苫
eir 茈
eiv 茧
eix 菽
ej 古
ej; 克
ejc 葺
ejc 堇
ejd 茵
ejf 橐
ejg 颧
eji 蠹
ejj 茴
ejj 莒
ejj 蕗
ejk 剋
ejl 觐
ejl 蒉
ejm 故
ejm 菌
ejo 莴
ejq 胡
ejr 囊
ejr 兢
ejr 鹳
ejr 鸪
ejr 鹕
ejs 辜
ejs 蕺
ejw 蒽
ejx 嘏
ejy 勤
ejy 鄞
ejz 萼
ek 蓝
eka 靼
ekb 墓
ekc 菲
ekd 莳
eke 草
ekf 菓
ekg 莫
eki 苗
ekj 黇
ekk 曹
ekk 暮
ekk 菖
ekk 藟
ekl 幕
ekm 蔽
ekm 摹
eko 黄
ekq 萌
ekq 鞘
ekr 葛
ekr 鹊
ekr 鹋
ekr 鞨
eku 慕
ekw 葸
ekx 蔓
ekx 蓦
ekx 蕞
eky 募
eky 鄚
el 英
elb 薯
elb 苒
elc 直
elc 苴
eld 南
eld 苘
eld 茼
ele 斠
elg 颠
elg 鞅
elj 萜
ell 矗
ell 瞢
ell 觏
elo 真
elo 芮
elr 萝
elr 薨
elr 苋
els 献
els 蔑
els 甍
elv 苜
elw 蓇
emb 董
eme 芊
emf 蘖
emh 芼
emk 莉
emk 茱
emk 藜
emm 莠
emn 荞
emn 鞒
emn 薙
ems 薛
ems 莪
emu 萩
emu 糵
emv 薰
emy 乾
emy 孽
emz 萎
emz 莓
emz 蘩
enb 荏
enb 茌
end 苻
ene 萆
enf 葆
eng 薁
eni 萑
eni 茽
enj 荷
enj 蓓
enj 蒐
enk 劐
enm 莜
enn 藠
eno 鞭
eno 萸
enq 蒨
enr 花
enr 靴
enr 蓖
enr 葰
ens 莅
ens 茯
ens 菂
env 蕉
eny 葩
eo 芬
eo; 苍
eob 莝
eob 葎
eoc 荃
eoe 斡
eoe 幹
eof 茶
eof 棻
eog 蘅
eoi 荇
eoi 蓰
eol 赍
eom 薇
eom 荼
eom 蔹
eon 芥
eoo 苁
eos 艾
eou 恭
eov 莶
eow 苓
eow 菍
eox 芩
eoy 翰
eoy 巷
eoy 蓊
eoz 荟
epd 斯
epd 芹
epd 靳
epf 菜
epk 蕃
epp 蓏
epr 藐
epy 莩
epz 荽
eqg 莸
eqk 藤
eqk 蒯
eqm 散
eqs 获
eqs 芄
eqs 芃
equ 荻
eqx 芟
eqx 菔
eqy 艽
erb 蔡
erf 葡
erf 檠
erh 芪
eri 薿
erj 苟
erj 茗
erk 荀
erk 蓟
erl 萄
erm 敬
erm 擎
erm 薢
ern 萏
ero 欺
ero 芡
ero 芴
err 蔸
err 鞔
ers 警
ers 芍
ers 鞫
ers 菟
ers 茋
ers 韂
ert 苳
eru 菊
eru 鞠
eru 藓
erw 葱
ery 苑
ery 苞
ery 茆
ery 茚
erz 茑
esa 葶
ese 萃
ese 莘
ese 蘘
esf 藁
esh 芒
esi 苄
esj 菩
esj 蒿
esk 蓄
esk 蓑
esl 蒂
esm 蔟
esn 荒
esn 荠
esn 蕹
eso 茭
eso 芠
eso 荄
esp 薪
esq 蓢
esr 蔼
esr 茺
ess 蒡
est 菸
esw 薏
esx 莨
esy 芳
esz 蓠
etd 蒋
etg 蘑
etk 蘼
etm 蒺
etm 藦
etn 蔺
etr 茨
etv 燕
etv 蔗
etv 藨
eub 靽
eue 荓
eue 蔊
euf 鞧
euh 丧
euj 啬
eum 薮
eup 蕲
euq 蒴
euu 菼
eux 蒹
euz 蒌
evb 茳
evb 薸
evd 薄
eve 蓱
evf 蒲
evf 藻
